Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Data (dd/mm/yyyy);Ponto;Brix (%);LAI (%);PBU (g);Peso kg/m
1;1;301;AGUA BRANCA;1;IAC87 3396;B1;1;12/10/2021;2;19,39;69,75;158,1;0
1;1;301;AGUA BRANCA;1;IAC96 7569;B1;2;12/10/2021;2;19,25;68,57;149,22;0
1;1;301;AGUA BRANCA;1;IAC94 2094;B1;3;12/10/2021;2;19,82;72,28;146,78;0
1;1;301;AGUA BRANCA;1;IAC91 1099;B1;4;12/10/2021;2;19,77;70,08;139,3;0
1;1;301;AGUA BRANCA;1;IAC91 1099;B2;5;12/10/2021;2;19,02;68,48;138,08;0
1;1;301;AGUA BRANCA;1;IAC87 3396;B2;6;12/10/2021;2;18,91;67,4;136,05;0
1;1;301;AGUA BRANCA;1;IAC96 7569;B2;7;12/10/2021;2;17,79;62,08;144,29;0
1;1;301;AGUA BRANCA;1;IAC94 2094;B2;8;12/10/2021;2;18,48;63,55;132,75;0
1;1;301;AGUA BRANCA;1;IAC94 2094;B3;9;12/10/2021;2;18,1;61,54;137,52;0
1;1;301;AGUA BRANCA;1;IAC91 1099;B3;10;12/10/2021;2;18,59;66,27;123,45;0
1;1;301;AGUA BRANCA;1;IAC87 3396;B3;11;12/10/2021;2;18,27;66,08;134,7;0
1;1;301;AGUA BRANCA;1;IAC96 7569;B3;12;12/10/2021;2;18,71;68,02;127,66;0
