Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Data (dd/mm/yyyy);Ponto;Diametro
1;1;301;AGUA BRANCA;1;IAC87 3396;B1;1;08/10/2021;1;19
1;1;301;AGUA BRANCA;1;IAC96 7569;B1;2;08/10/2021;1;28
1;1;301;AGUA BRANCA;1;IAC94 2094;B1;3;08/10/2021;1;24
1;1;301;AGUA BRANCA;1;IAC91 1099;B1;4;08/10/2021;1;30
1;1;301;AGUA BRANCA;1;IAC91 1099;B2;5;08/10/2021;1;24
1;1;301;AGUA BRANCA;1;IAC87 3396;B2;6;08/10/2021;1;23
1;1;301;AGUA BRANCA;1;IAC96 7569;B2;7;08/10/2021;1;23
1;1;301;AGUA BRANCA;1;IAC94 2094;B2;8;08/10/2021;1;24
1;1;301;AGUA BRANCA;1;IAC94 2094;B3;9;08/10/2021;1;29
1;1;301;AGUA BRANCA;1;IAC91 1099;B3;10;08/10/2021;1;34
1;1;301;AGUA BRANCA;1;IAC87 3396;B3;11;08/10/2021;1;23
1;1;301;AGUA BRANCA;1;IAC96 7569;B3;12;08/10/2021;1;26
1;1;301;AGUA BRANCA;1;IAC87 3396;B1;1;12/12/2021;2;26
1;1;301;AGUA BRANCA;1;IAC96 7569;B1;2;12/12/2021;2;28
1;1;301;AGUA BRANCA;1;IAC94 2094;B1;3;12/12/2021;2;29
1;1;301;AGUA BRANCA;1;IAC91 1099;B1;4;12/12/2021;2;24
1;1;301;AGUA BRANCA;1;IAC91 1099;B2;5;12/12/2021;2;24
1;1;301;AGUA BRANCA;1;IAC87 3396;B2;6;12/12/2021;2;26
1;1;301;AGUA BRANCA;1;IAC96 7569;B2;7;12/12/2021;2;35
1;1;301;AGUA BRANCA;1;IAC94 2094;B2;8;12/12/2021;2;27
1;1;301;AGUA BRANCA;1;IAC94 2094;B3;9;12/12/2021;2;22
1;1;301;AGUA BRANCA;1;IAC91 1099;B3;10;12/12/2021;2;29
1;1;301;AGUA BRANCA;1;IAC87 3396;B3;11;12/12/2021;2;23
1;1;301;AGUA BRANCA;1;IAC96 7569;B3;12;12/12/2021;2;28
1;1;301;AGUA BRANCA;1;IAC87 3396;B1;1;07/02/2022;3;28
1;1;301;AGUA BRANCA;1;IAC96 7569;B1;2;07/02/2022;3;26
1;1;301;AGUA BRANCA;1;IAC94 2094;B1;3;07/02/2022;3;25
1;1;301;AGUA BRANCA;1;IAC91 1099;B1;4;07/02/2022;3;22
1;1;301;AGUA BRANCA;1;IAC91 1099;B2;5;07/02/2022;3;25
1;1;301;AGUA BRANCA;1;IAC87 3396;B2;6;07/02/2022;3;26
1;1;301;AGUA BRANCA;1;IAC96 7569;B2;7;07/02/2022;3;18
1;1;301;AGUA BRANCA;1;IAC94 2094;B2;8;07/02/2022;3;25
1;1;301;AGUA BRANCA;1;IAC94 2094;B3;9;07/02/2022;3;28
1;1;301;AGUA BRANCA;1;IAC91 1099;B3;10;07/02/2022;3;30
1;1;301;AGUA BRANCA;1;IAC87 3396;B3;11;07/02/2022;3;27
1;1;301;AGUA BRANCA;1;IAC96 7569;B3;12;07/02/2022;3;24
