Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Composto;Nome;Sigla;Data (dd/mm/yyyy);Ponto;Valor
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B1;361;11;Densidade (g/cm³);Dens;19/10/2021;1;12,3
1;27;479;CALIFÓRNIA;16;Etrel;B1;362;9;Molibdênio;Mo;19/10/2021;1;6
1;27;479;CALIFÓRNIA;16;Etrel;B1;362;11;Densidade (g/cm³);Dens;19/10/2021;1;13,25
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B1;363;1;Nitrogênio;N;19/10/2021;1;2
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B1;363;2;Óxido de Potássio;K2O;19/10/2021;1;1
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B1;363;3;Carbono Orgânico Total;COT;19/10/2021;1;0
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B1;363;10;Aminoácidos;Aminoácido;19/10/2021;1;0
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B1;363;11;Densidade (g/cm³);Dens;19/10/2021;1;12
1;27;981;AGENOR;10;Expert Grow;B1;364;2;Óxido de Potássio;K2O;19/10/2021;1;5
1;27;981;AGENOR;10;Expert Grow;B1;364;10;Aminoácidos;Aminoácido;19/10/2021;1;20
1;27;981;AGENOR;10;Expert Grow;B1;364;11;Densidade (g/cm³);Dens;19/10/2021;1;13
1;27;981;AGENOR;10;Expert Grow;B2;365;2;Óxido de Potássio;K2O;19/10/2021;1;2
1;27;981;AGENOR;10;Expert Grow;B2;365;10;Aminoácidos;Aminoácido;19/10/2021;1;22
1;27;981;AGENOR;10;Expert Grow;B2;365;11;Densidade (g/cm³);Dens;19/10/2021;1;14,1
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B2;366;1;Nitrogênio;N;19/10/2021;1;5
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B2;366;2;Óxido de Potássio;K2O;19/10/2021;1;9
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B2;366;3;Carbono Orgânico Total;COT;19/10/2021;1;5
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B2;366;10;Aminoácidos;Aminoácido;19/10/2021;1;16
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B2;366;11;Densidade (g/cm³);Dens;19/10/2021;1;13
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B2;368;11;Densidade (g/cm³);Dens;19/10/2021;1;14
1;27;479;CALIFÓRNIA;16;Etrel;B2;367;9;Molibdênio;Mo;19/10/2021;1;5
1;27;479;CALIFÓRNIA;16;Etrel;B2;367;11;Densidade (g/cm³);Dens;19/10/2021;1;10
1;27;479;CALIFÓRNIA;16;Etrel;B3;369;9;Molibdênio;Mo;19/10/2021;1;8
1;27;479;CALIFÓRNIA;16;Etrel;B3;369;11;Densidade (g/cm³);Dens;19/10/2021;1;13
1;27;981;AGENOR;10;Expert Grow;B3;370;2;Óxido de Potássio;K2O;19/10/2021;1;2
1;27;981;AGENOR;10;Expert Grow;B3;370;10;Aminoácidos;Aminoácido;19/10/2021;1;16
1;27;981;AGENOR;10;Expert Grow;B3;370;11;Densidade (g/cm³);Dens;19/10/2021;1;16
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B3;371;1;Nitrogênio;N;19/10/2021;1;4,5
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B3;371;2;Óxido de Potássio;K2O;19/10/2021;1;2,5
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B3;371;3;Carbono Orgânico Total;COT;19/10/2021;1;1,89
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B3;371;10;Aminoácidos;Aminoácido;19/10/2021;1;19,5
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B3;371;11;Densidade (g/cm³);Dens;19/10/2021;1;14,1
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B3;372;11;Densidade (g/cm³);Dens;19/10/2021;1;13,5
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B4;373;1;Nitrogênio;N;19/10/2021;1;5
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B4;373;2;Óxido de Potássio;K2O;19/10/2021;1;2
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B4;373;3;Carbono Orgânico Total;COT;19/10/2021;1;1
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B4;373;10;Aminoácidos;Aminoácido;19/10/2021;1;16,8
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B4;373;11;Densidade (g/cm³);Dens;19/10/2021;1;16
1;27;479;CALIFÓRNIA;16;Etrel;B4;374;9;Molibdênio;Mo;19/10/2021;1;2
1;27;479;CALIFÓRNIA;16;Etrel;B4;374;11;Densidade (g/cm³);Dens;19/10/2021;1;9
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B4;375;11;Densidade (g/cm³);Dens;19/10/2021;1;15
1;27;981;AGENOR;10;Expert Grow;B4;376;2;Óxido de Potássio;K2O;19/10/2021;1;4
1;27;981;AGENOR;10;Expert Grow;B4;376;10;Aminoácidos;Aminoácido;19/10/2021;1;19,4
1;27;981;AGENOR;10;Expert Grow;B4;376;11;Densidade (g/cm³);Dens;19/10/2021;1;10
