Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Data (dd/mm/yyyy);Ponto;Peso
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B1;361;15/09/2021;1;10,80
1;27;479;CALIFÓRNIA;16;Etrel;B1;362;15/09/2021;1;10,35
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B1;363;15/09/2021;1;10,83
1;27;981;AGENOR;10;Expert Grow;B1;364;15/09/2021;1;6,73
1;27;981;AGENOR;10;Expert Grow;B2;365;15/09/2021;1;10,60
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B2;366;15/09/2021;1;12,03
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B2;368;15/09/2021;1;10,21
1;27;479;CALIFÓRNIA;16;Etrel;B2;367;15/09/2021;1;9,74
1;27;479;CALIFÓRNIA;16;Etrel;B3;369;15/09/2021;1;14,03
1;27;981;AGENOR;10;Expert Grow;B3;370;15/09/2021;1;11,16
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B3;371;15/09/2021;1;11,27
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B3;372;15/09/2021;1;13,92
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B4;373;15/09/2021;1;10,25
1;27;479;CALIFÓRNIA;16;Etrel;B4;374;15/09/2021;1;14,59
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B4;375;15/09/2021;1;11,43
1;27;981;AGENOR;10;Expert Grow;B4;376;15/09/2021;1;11,63
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B1;361;15/10/2021;2;9,89
1;27;479;CALIFÓRNIA;16;Etrel;B1;362;15/10/2021;2;10,96
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B1;363;15/10/2021;2;10,80
1;27;981;AGENOR;10;Expert Grow;B1;364;15/10/2021;2;10,35
1;27;981;AGENOR;10;Expert Grow;B2;365;15/10/2021;2;10,83
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B2;366;15/10/2021;2;6,73
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B2;368;15/10/2021;2;10,60
1;27;479;CALIFÓRNIA;16;Etrel;B2;367;15/10/2021;2;12,03
1;27;479;CALIFÓRNIA;16;Etrel;B3;369;15/10/2021;2;10,21
1;27;981;AGENOR;10;Expert Grow;B3;370;15/10/2021;2;9,74
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B3;371;15/10/2021;2;14,03
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B3;372;15/10/2021;2;11,16
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B4;373;15/10/2021;2;11,27
1;27;479;CALIFÓRNIA;16;Etrel;B4;374;15/10/2021;2;13,92
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B4;375;15/10/2021;2;10,25
1;27;981;AGENOR;10;Expert Grow;B4;376;15/10/2021;2;14,59
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B1;361;15/11/2021;3;11,43
1;27;479;CALIFÓRNIA;16;Etrel;B1;362;15/11/2021;3;11,63
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B1;363;15/11/2021;3;9,89
1;27;981;AGENOR;10;Expert Grow;B1;364;15/11/2021;3;10,96
1;27;981;AGENOR;10;Expert Grow;B2;365;15/11/2021;3;10,80
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B2;366;15/11/2021;3;10,35
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B2;368;15/11/2021;3;10,83
1;27;479;CALIFÓRNIA;16;Etrel;B2;367;15/11/2021;3;6,73
1;27;479;CALIFÓRNIA;16;Etrel;B3;369;15/11/2021;3;10,60
1;27;981;AGENOR;10;Expert Grow;B3;370;15/11/2021;3;12,03
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B3;371;15/11/2021;3;10,21
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B3;372;15/11/2021;3;9,74
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B4;373;15/11/2021;3;14,03
1;27;479;CALIFÓRNIA;16;Etrel;B4;374;15/11/2021;3;11,16
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B4;375;15/11/2021;3;11,27
1;27;981;AGENOR;10;Expert Grow;B4;376;15/11/2021;3;13,92
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B1;361;15/12/2021;4;10,25
1;27;479;CALIFÓRNIA;16;Etrel;B1;362;15/12/2021;4;14,59
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B1;363;15/12/2021;4;11,43
1;27;981;AGENOR;10;Expert Grow;B1;364;15/12/2021;4;11,63
1;27;981;AGENOR;10;Expert Grow;B2;365;15/12/2021;4;9,89
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B2;366;15/12/2021;4;10,96
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B2;368;15/12/2021;4;9,74
1;27;479;CALIFÓRNIA;16;Etrel;B2;367;15/12/2021;4;14,03
1;27;479;CALIFÓRNIA;16;Etrel;B3;369;15/12/2021;4;11,16
1;27;981;AGENOR;10;Expert Grow;B3;370;15/12/2021;4;11,27
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B3;371;15/12/2021;4;13,92
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B3;372;15/12/2021;4;10,25
1;27;180; SANTA TEREZINHA;31;Disperse Ultra;B4;373;15/12/2021;4;14,59
1;27;479;CALIFÓRNIA;16;Etrel;B4;374;15/12/2021;4;11,43
1;27;383;PIRAVEVE (IRAIDES);44;Priori Xtra;B4;375;15/12/2021;4;11,63
1;27;981;AGENOR;10;Expert Grow;B4;376;15/12/2021;4;9,89
