Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Data (dd/mm/yyyy);Ponto;Peso
1;3;180;SANTA TEREZINHA;2;CTC 22;B1;25;10/07/2020;1;170
1;3;180;SANTA TEREZINHA;2;CT00 2572;B1;26;10/07/2020;1;180
1;3;180;SANTA TEREZINHA;2;CTC 6;B1;27;10/07/2020;1;130
1;3;180;SANTA TEREZINHA;2;CT99 3615;B1;28;10/07/2020;1;200
1;3;180;SANTA TEREZINHA;2;CT99 3615;B2;29;10/07/2020;1;170
1;3;180;SANTA TEREZINHA;2;CTC 6;B2;30;10/07/2020;1;160
1;3;180;SANTA TEREZINHA;2;CTC 22;B2;31;10/07/2020;1;230
1;3;180;SANTA TEREZINHA;2;CT00 2572;B2;32;10/07/2020;1;260
1;3;180;SANTA TEREZINHA;2;CT00 2572;B3;33;10/07/2020;1;220
1;3;180;SANTA TEREZINHA;2;CTC 22;B3;34;10/07/2020;1;110
1;3;180;SANTA TEREZINHA;2;CT99 3615;B3;35;10/07/2020;1;260
1;3;180;SANTA TEREZINHA;2;CTC 6;B3;36;10/07/2020;1;200
1;3;180;SANTA TEREZINHA;2;CTC 22;B1;25;12/09/2020;2;180
1;3;180;SANTA TEREZINHA;2;CT00 2572;B1;26;12/09/2020;2;200
1;3;180;SANTA TEREZINHA;2;CTC 6;B1;27;12/09/2020;2;110
1;3;180;SANTA TEREZINHA;2;CT99 3615;B1;28;12/09/2020;2;230
1;3;180;SANTA TEREZINHA;2;CT99 3615;B2;29;12/09/2020;2;290
1;3;180;SANTA TEREZINHA;2;CTC 6;B2;30;12/09/2020;2;220
1;3;180;SANTA TEREZINHA;2;CTC 22;B2;31;12/09/2020;2;260
1;3;180;SANTA TEREZINHA;2;CT00 2572;B2;32;12/09/2020;2;180
1;3;180;SANTA TEREZINHA;2;CT00 2572;B3;33;12/09/2020;2;130
1;3;180;SANTA TEREZINHA;2;CTC 22;B3;34;12/09/2020;2;230
1;3;180;SANTA TEREZINHA;2;CT99 3615;B3;35;12/09/2020;2;230
1;3;180;SANTA TEREZINHA;2;CTC 6;B3;36;12/09/2020;2;300
