Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Gleba;Croqui;"Data (dd/mm/yyyy)";Ponto;"Brix (%)";"LAI (%)";"PBU (g)";Peso
3;17;402;Experimental;44;"Relicta 300";B1;159
3;17;402;Experimental;44;"Relicta 120";B1;160
3;17;402;Experimental;44;Testemunha;B1;164
3;17;402;Experimental;44;"Moddus + Curavial";B1;161
3;17;402;Experimental;44;"Relicta 200";B1;162
3;17;402;Experimental;44;"Relicta 160";B1;163
3;17;402;Experimental;44;"Curavial 20";B1;165
3;17;402;Experimental;44;Effectus;B1;166
3;17;402;Experimental;44;"Curavial 23";B1;167
3;17;402;Experimental;44;"Suiker + Curavial";B1;168
3;17;402;Experimental;44;Moddus;B1;169
3;17;402;Experimental;44;Suiker;B1;170
3;17;402;Experimental;44;"Effectus + Curavial";B1;171
3;17;402;Experimental;44;"Curavial 18";B1;172
